SectionID,Latitude,Longitude,OHEMas
DPH-DURG,21.8761,82.0716,743/29A 
DPH-DURG,21.8756,82.0716,743/31A 
DPH-DURG,21.8751,82.0715,744/1A  
DPH-DURG,21.8746,82.0714,744/3A  
DPH-DURG,21.8741,82.0713,744/3A/1
DPH-DURG,21.8737,82.0712,744/7A  
DPH-DURG,21.8733,82.0712,744/9A  
DPH-DURG,21.8729,82.0711,744/13A 
DPH-DURG,21.8724,82.0710,744/15A 
DPH-DURG,21.8719,82.0709,744/17A 
DPH-DURG,21.8715,82.0708,744/19A 
DPH-DURG,21.8711,82.0707,744/21A 
DPH-DURG,21.8707,82.0706,744/23A 
DPH-DURG,21.8702,82.0705,744/25A 
DPH-DURG,21.8698,82.0704,744/27A 
DPH-DURG,21.8694,82.0703,744/29A 
DPH-DURG,21.8689,82.0703,744/31A 
DPH-DURG,21.8685,82.0701,744/33A 
DPH-DURG,21.8681,82.0701,744/35A 
DPH-DURG,21.8676,82.0699,744/37A 
DPH-DURG,21.8672,82.0699,744/39A 
DPH-DURG,21.8667,82.0697,745/1N  
DPH-DURG,21.8663,82.0697,745/1A/1
DPH-DURG,21.8659,82.0696,745/1A  
DPH-DURG,21.8656,82.0695,745/3A  
DPH-DURG,21.8651,82.0694,745/3A/1
DPH-DURG,21.8648,82.0693,745/5A  
DPH-DURG,21.8644,82.0692,745/7A  
DPH-DURG,21.8641,82.0691,745/9A  
DPH-DURG,21.8637,82.0690,745/11A 
DPH-DURG,21.8634,82.0688,745/13A 
DPH-DURG,21.8630,82.0686,745/15A 
DPH-DURG,21.8627,82.0685,745/15A/
DPH-DURG,21.8623,82.0682,745/17A 
DPH-DURG,21.8619,82.0679,745/19A 
DPH-DURG,21.8615,82.0677,745/21A 
DPH-DURG,21.8610,82.0673,745/23A 
DPH-DURG,21.8605,82.0670,745/25A 
DPH-DURG,21.8600,82.0666,745/27A 
DPH-DURG,21.8596,82.0663,745/29A 
DPH-DURG,21.8591,82.0660,745/29A/
DPH-DURG,21.8586,82.0657,745/31A 
DPH-DURG,21.8582,82.0654,745/1A  
DPH-DURG,21.8577,82.0651,746/1A/1
DPH-DURG,21.8572,82.0647,746/3A  
DPH-DURG,21.8568,82.0644,746/5A  
DPH-DURG,21.8563,82.0641,746/5A/1
DPH-DURG,21.8558,82.0638,746/7A  
DPH-DURG,21.8554,82.0634,746/9A  
DPH-DURG,21.8549,82.0631,746/11A 
DPH-DURG,21.8544,82.0628,746/13A 
DPH-DURG,21.8539,82.0625,746/15A 
DPH-DURG,21.8535,82.0622,746/17A 
DPH-DURG,21.8531,82.0619,746/19A 
DPH-DURG,21.8527,82.0616,746/19A/
DPH-DURG,21.8523,82.0614,746/21  
DPH-DURG,21.8519,82.0611,746/23  
DPH-DURG,21.8515,82.0608,746/23N 
DPH-DURG,21.8511,82.0606,746/25N 
DPH-DURG,21.8506,82.0603,746/27N 
DPH-DURG,21.8501,82.0600,747/3N  
DPH-DURG,21.8497,82.0597,747/3N/1
DPH-DURG,21.8492,82.0593,747/5   
DPH-DURG,21.8486,82.0590,747/7   
DPH-DURG,21.8481,82.0586,747/9   
DPH-DURG,21.8475,82.0583,747/11  
DPH-DURG,21.8470,82.0579,747/13  
DPH-DURG,21.8465,82.0576,747/13N 
DPH-DURG,21.8462,82.0574,747/15N 
DPH-DURG,21.8458,82.0572,747/17N 
DPH-DURG,21.8453,82.0569,747/17/1
DPH-DURG,21.8449,82.0566,747/19N 
DPH-DURG,21.8446,82.0564,747/21N 
DPH-DURG,21.8442,82.0561,747/23N 
DPH-DURG,21.8437,82.0558,747/25  
DPH-DURG,21.8431,82.0554,747/27N 
DPH-DURG,21.8426,82.0551,748/1   
DPH-DURG,21.8420,82.0547,748/3   
DPH-DURG,21.8415,82.0544,748/5   
DPH-DURG,21.8409,82.0540,748/7   
DPH-DURG,21.8404,82.0536,748/9   
DPH-DURG,21.8398,82.0533,748/11  
DPH-DURG,21.8393,82.0529,748/13  
DPH-DURG,21.8387,82.0526,748/15  
DPH-DURG,21.8382,82.0522,748/17  
DPH-DURG,21.8376,82.0518,748/19  
DPH-DURG,21.8370,82.0515,748/21  
DPH-DURG,21.8365,82.0511,748/23  
DPH-DURG,21.8359,82.0508,748/25  
DPH-DURG,21.8354,82.0504,748/27  
DPH-DURG,21.8348,82.0501,748/29  
DPH-DURG,21.8343,82.0498,749/1   
DPH-DURG,21.8338,82.0494,749/3   
DPH-DURG,21.8332,82.0490,749/5   
DPH-DURG,21.8327,82.0487,749/7   
DPH-DURG,21.8323,82.0484,749/9   
DPH-DURG,21.8319,82.0482,749/9/1 
DPH-DURG,21.8316,82.0480,749/11  
DPH-DURG,21.8311,82.0477,749/13  
DPH-DURG,21.8306,82.0474,749/15  
DPH-DURG,21.8303,82.0471,749/17N 
DPH-DURG,21.8297,82.0468,749/19  
DPH-DURG,21.8292,82.0465,749/21  
DPH-DURG,21.8288,82.0462,749/23  
DPH-DURG,21.8283,82.0459,749/25  
DPH-DURG,21.8279,82.0456,749/27  
DPH-DURG,21.8273,82.0452,749/29  
DPH-DURG,21.8268,82.0448,750/1   
DPH-DURG,21.8265,82.0446,750/3   
DPH-DURG,21.8260,82.0444,750/5   
DPH-DURG,21.8254,82.0442,750/7   
DPH-DURG,21.8250,82.0437,750/9   
DPH-DURG,21.8246,82.0435,750/11N 
DPH-DURG,21.8241,82.0432,750/13N 
DPH-DURG,21.8238,82.0430,750/15N 
DPH-DURG,21.8234,82.0427,750/17N 
DPH-DURG,21.8232,82.0425,750/19  
DPH-DURG,21.8227,82.0422,750/21  
DPH-DURG,21.8222,82.0419,750/23  
DPH-DURG,21.8209,82.0433,750/25
DPH-DURG,21.8213,82.0414,750/27  
DPH-DURG,21.8209,82.0411,750/29N 
DPH-DURG,21.8205,82.0408,750/31N 
DPH-DURG,21.8201,82.0406,750/33N 
DPH-DURG,21.8197,82.0403,750/33  
DPH-DURG,21.8192,82.0400,751/1N  
DPH-DURG,21.8186,82.0396,751/3   
DPH-DURG,21.8181,82.0393,751/5   
DPH-DURG,21.8175,82.0389,751/7   
DPH-DURG,21.8170,82.0385,753/9   
DPH-DURG,21.8164,82.0382,751/11  
DPH-DURG,21.8158,82.0378,751/13  
DPH-DURG,21.8153,82.0375,751/15  
DPH-DURG,21.8147,82.0371,751/17  
DPH-DURG,21.8142,82.0367,751/19  
DPH-DURG,21.8136,82.0364,751/21  
DPH-DURG,21.8131,82.0360,751/23  
DPH-DURG,21.8125,82.0356,751/25  
DPH-DURG,21.8119,82.0353,751/27  
DPH-DURG,21.8115,82.0350,752/1   
DPH-DURG,21.8109,82.0346,752/3   
DPH-DURG,21.8103,82.0343,752/5   
DPH-DURG,21.8098,82.0339,752/7   
DPH-DURG,21.8092,82.0336,752/9   
DPH-DURG,21.8087,82.0332,752/11  
DPH-DURG,21.8081,82.0328,752/13  
DPH-DURG,21.8076,82.0325,752/15  
DPH-DURG,21.8070,82.0321,752/17  
