SectionID,Latitude,Longitude,Altitude,OHEMas,EngFeature,TRDFeature,PWI,Division,Remark,Satellites,ModifiedDate
DURG-BPTP,19.5275,81.32545833,299,983/7   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.5065,81.32510833,299,983/8   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.4827,81.32471167,300,983/9   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.4639,81.32439833,297,983/10  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.4412,81.32402,299,983/11  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.4215,81.32369167,299,983/12  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.4022,81.32337,298,983/13  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.3827,81.323045,299,983/14  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.3641,81.322735,299,983/15  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.3445,81.32240833,298,983/16  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.3223,81.32203833,299,983/17  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.2963,81.321605,301,983/18  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.2696,81.32116,300,983/19  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.2373,81.32062167,300,983/20  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.2052,81.32008667,300,983/21  ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.1756,81.31959333,300,984/1   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.1422,81.31903667,301,984/2   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.1106,81.31851,301,984/3   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.0762,81.31793667,303,984/4   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.0383,81.317305,301,984/5   ,,,,RAIPUR,,10,10/04/2024
DURG-BPTP,19.002,81.3167,301,984/6   ,,,,RAIPUR,,10,10/04/2024
